ID_Transaccion,Fecha,Cliente_Edad,Cliente_Genero,Pais,Marca,Categoria,Plataforma_Cashback,Canal_Integracion,Monto_Compra,Porcentaje_Devolucion
TRX-2026-0029,2026-06-01,29.0,F,Reino Unido,MediaMarkt,tecnología,Letyshops,App Móvil,176.91,"2,4%"
TRX-2026-0030,2025-10-21,31.0,M,ES,Zalando,Moda,iGraal,Web/Enlace Directo,49.14,0.0597
TRX-2026-0031,2025-09-12,29.0,M,España ,Renfe,Viajes,Letyshops,Web/Enlace Directo,628.64,"4,1%"
TRX-2026-0032,2025-09-25,48.0,F,Francia,ASOS,Moda,iGraal,Web/Enlace Directo,79.51,0.0712
TRX-2026-0033,2026-03-05,33.0,M,Francia,Renfe,Viajes,Awin_Affiliate,Web/Enlace Directo,563.37,"5,9%"
TRX-2026-0034,2026-01-13,25.0,No binario,España ,Zara,Moda,Revolut_Rewards,Web/Enlace Directo,118.52,
TRX-2026-0035,2025-11-05,40.0,No binario,Alemania,MediaMarkt,Tecnología,Revolut_Rewards,App Móvil,621.04,0.0202
TRX-2026-0036,2026-01-19,24.0,No binario,Reino Unido,PcComponentes,tecnología,Letyshops,Web/Enlace Directo,306.96,"2,6%"
TRX-2026-0037,2026-05-07,35.0,M,Francia,Sephora,Moda,Revolut_Rewards,App Móvil,74.96,0.0489
TRX-2026-0038,2025-11-08,18.0,F,ES,Carrefour,Alimentación,Letyshops,Extensión Navegador,44.67,0.044
TRX-2026-0039,2025-09-28,23.0,M,Italia,Dia,Alimentación,Revolut_Rewards,App Móvil,31.85,0.0274
TRX-2026-0040,2026-01-24,35.0,M,espana,Apple,Tecnología,Awin_Affiliate,App Móvil,314.95,"2,1%"
TRX-2026-0041,2025-11-13,39.0,M,España,Just Eat,Alimentación,iGraal,Extensión Navegador,69.14,0.0317
TRX-2026-0042,2026-06-10,35.0,M,ES,Just Eat,Alimentación,Letyshops,App Móvil,29.26,"3,3%"
TRX-2026-0043,2025-10-17,33.0,F,Alemania,Iberia,viajes,iGraal,Extensión Navegador,446.37,0.0354
TRX-2026-0044,2025-12-28,31.0,M,Italia,Uber Eats,alimentación,Revolut_Rewards,App Móvil,69.27,0.0341
TRX-2026-0045,2026-05-09,22.0,No binario,España,Expedia,Viajes,Letyshops,Extensión Navegador,434.16,0.0395
TRX-2026-0046,2025-12-07,28.0,F,Alemania,Expedia,Viajes,Awin_Affiliate,Extensión Navegador,409.85,0.0672
TRX-2026-0047,2026-03-04,30.0,F,Alemania,Nike,Moda,Awin_Affiliate,Web/Enlace Directo,100.05,0.0473
TRX-2026-0048,2025-12-06,42.0,F,Alemania,PcComponentes,Tecnología,Revolut_Rewards,App Móvil,130.76,0.0292
TRX-2026-0049,2025-09-19,36.0,No binario,España,Just Eat,Alimentación,Revolut_Rewards,Web/Enlace Directo,53.51,"3,0%"
TRX-2026-0050,2025-08-26,19.0,No binario,Reino Unido,Uber Eats,Alimentación,iGraal,App Móvil,70.31,"2,5%"
TRX-2026-0051,2025-06-19,36.0,M,Alemania,Vueling,Viajes,Letyshops,Extensión Navegador,217.57,0.0463
TRX-2026-0052,2025-10-27,30.0,F,ES,Apple,Tecnología,Revolut_Rewards,Web/Enlace Directo,249.24,"2,3%"
TRX-2026-0053,2025-06-19,28.0,M,espana,Amazon,Tecnología,Letyshops,Extensión Navegador,660.3,0.0163
TRX-2026-0054,2025-08-16,38.0,No binario,Alemania,PcComponentes,Tecnología,Letyshops,App Móvil,235.64,"1,4%"
TRX-2026-0055,2025-09-03,42.0,M,Reino Unido,Sephora,Moda,Revolut_Rewards,Extensión Navegador,134.09,0.0744
TRX-2026-0056,2025-10-12,41.0,F,Italia,Iberia,Viajes,Revolut_Rewards,Extensión Navegador,408.9,"5,7%"
TRX-2026-0057,2026-02-06,27.0,F,Alemania,Dia,Alimentación,Revolut_Rewards,App Móvil,74.05,0.0289
TRX-2026-0058,2026-04-24,31.0,F,Reino Unido,ASOS,Moda,iGraal,Extensión Navegador,54.98,"7,3%"
TRX-2026-0059,2026-05-28,36.0,F,espana,MediaMarkt,Tecnología,iGraal,Web/Enlace Directo,240.74,0.0153
TRX-2026-0060,2026-01-28,41.0,F,España,Expedia,Viajes,Awin_Affiliate,Web/Enlace Directo,506.91,"5,3%"
TRX-2026-0061,2026-01-25,30.0,No binario,Alemania,Just Eat,Alimentación,iGraal,Web/Enlace Directo,17.59,"3,3%"
TRX-2026-0062,2025-08-23,32.0,No binario,espana,Fnac,Tecnología,iGraal,Extensión Navegador,444.63,0.023
TRX-2026-0063,2026-04-28,25.0,M,España ,Uber Eats,Alimentación,Awin_Affiliate,Web/Enlace Directo,21.8,0.0248
TRX-2026-0064,2025-09-05,24.0,F,Francia,Renfe,Viajes,Awin_Affiliate,App Móvil,146.08,
TRX-2026-0065,2025-10-20,40.0,M,espana,Mango,Moda,Awin_Affiliate,Web/Enlace Directo,119.56,0.0775
TRX-2026-0066,2025-06-21,44.0,M,España,Vueling,Viajes,Letyshops,Web/Enlace Directo,170.28,0.052
TRX-2026-0067,2026-04-14,33.0,No binario,Italia,Zara,Moda,Awin_Affiliate,Web/Enlace Directo,113.18,0.0649
TRX-2026-0068,2026-03-08,42.0,No binario,Alemania,Nike,moda,Awin_Affiliate,App Móvil,67.48,"8,7%"
TRX-2026-0069,2025-08-21,36.0,No binario,Francia,Zara,Moda,Revolut_Rewards,App Móvil,66.55,"8,6%"
TRX-2026-0070,2026-02-11,28.0,No binario,Francia,Zara,Moda,iGraal,App Móvil,118.09,0.0823
TRX-2026-0071,2026-03-28,36.0,M,España ,Mango,moda,Awin_Affiliate,Extensión Navegador,134.27,0.0664
TRX-2026-0072,2026-03-26,46.0,F,Francia,Amazon,Tecnología,Revolut_Rewards,Web/Enlace Directo,109.07,0.0166
TRX-2026-0073,2025-10-07,33.0,No binario,España,Expedia,Viajes,Awin_Affiliate,Extensión Navegador,505.66,"4,7%"
TRX-2026-0074,2026-05-21,46.0,M,Italia,Renfe,Viajes,Awin_Affiliate,App Móvil,325.49,0.0398
TRX-2026-0075,2025-08-05,18.0,M,Alemania,Zara,moda,Letyshops,Extensión Navegador,82.64,"5,5%"
TRX-2026-0076,2025-07-02,40.0,No binario,España ,Iberia,Viajes,Awin_Affiliate,Web/Enlace Directo,250.52,0.0685
TRX-2026-0077,2025-10-09,34.0,F,ES,Uber Eats,alimentación,Awin_Affiliate,Web/Enlace Directo,34.19,0.0493
TRX-2026-0078,2026-05-19,31.0,No binario,Reino Unido,Uber Eats,Alimentación,Letyshops,Web/Enlace Directo,67.13,"2,7%"
TRX-2026-0079,2025-06-30,34.0,F,Reino Unido,Booking,Viajes,Awin_Affiliate,App Móvil,99.02,"4,5%"
TRX-2026-0080,2026-03-03,18.0,F,Italia,Fnac,Tecnología,Awin_Affiliate,Extensión Navegador,260.99,0.0265
TRX-2026-0081,2026-04-16,32.0,M,España,Zalando,Moda,Revolut_Rewards,Web/Enlace Directo,70.72,"8,7%"
TRX-2026-0082,2025-08-18,36.0,M,Italia,PcComponentes,Tecnología,Letyshops,App Móvil,61.52,0.0277
TRX-2026-0083,2025-10-19,45.0,No binario,España,Carrefour,Alimentación,Letyshops,Extensión Navegador,76.51,0.0291
TRX-2026-0084,2025-12-06,29.0,No binario,Reino Unido,Dia,Alimentación,Revolut_Rewards,Web/Enlace Directo,21.44,
TRX-2026-0085,2025-10-29,27.0,M,ES,PcComponentes,Tecnología,Awin_Affiliate,Web/Enlace Directo,815.46,"2,3%"
TRX-2026-0086,2025-10-24,29.0,F,Reino Unido,Sephora,Moda,iGraal,Extensión Navegador,123.35,"5,5%"
TRX-2026-0087,2026-02-27,41.0,No binario,espana,ASOS,Moda,Letyshops,Web/Enlace Directo,25.35,"9,2%"
TRX-2026-0088,2026-05-31,36.0,F,España,Apple,Tecnología,Awin_Affiliate,Extensión Navegador,189.85,0.011
TRX-2026-0089,2025-09-24,29.0,No binario,España ,Dia,Alimentación,iGraal,Web/Enlace Directo,65.91,
TRX-2026-0090,2025-11-20,38.0,M,Reino Unido,Iberia,viajes,Revolut_Rewards,Extensión Navegador,592.58,"4,3%"
TRX-2026-0091,2025-06-14,34.0,M,Francia,MediaMarkt,Tecnología,Revolut_Rewards,Extensión Navegador,722.06,0.0123
TRX-2026-0092,2025-11-05,41.0,M,ES,Uber Eats,Alimentación,Revolut_Rewards,App Móvil,42.04,0.0229
TRX-2026-0093,2026-05-10,28.0,F,Italia,Booking,viajes,Revolut_Rewards,Extensión Navegador,504.42,"4,5%"
TRX-2026-0094,2025-07-05,31.0,F,Francia,MediaMarkt,Tecnología,iGraal,App Móvil,556.35,0.017
TRX-2026-0095,2026-04-19,30.0,M,Italia,PcComponentes,Tecnología,Awin_Affiliate,Web/Enlace Directo,234.5,0.0186
TRX-2026-0096,2025-09-01,22.0,F,Alemania,PcComponentes,tecnología,Letyshops,App Móvil,644.32,"1,6%"
TRX-2026-0097,2025-11-20,36.0,F,ES,Booking,Viajes,Letyshops,App Móvil,319.3,"4,4%"
TRX-2026-0098,2026-05-18,36.0,F,ES,Booking,Viajes,Awin_Affiliate,App Móvil,457.31,0.0494
TRX-2026-0099,2026-04-18,34.0,M,Reino Unido,Uber Eats,Alimentación,iGraal,Extensión Navegador,40.69,"3,8%"
TRX-2026-0100,2026-02-03,32.0,M,espana,Booking,Viajes,Revolut_Rewards,Web/Enlace Directo,325.47,0.0352
TRX-2026-0101,2026-05-08,22.0,M,Italia,Iberia,Viajes,iGraal,App Móvil,605.06,0.0645
TRX-2026-0102,2026-04-16,30.0,M,espana,Apple,Tecnología,Revolut_Rewards,Web/Enlace Directo,831.0,0.0118
TRX-2026-0103,2026-01-06,31.0,No binario,ES,ASOS,Moda,Letyshops,Extensión Navegador,88.81,0.0468
TRX-2026-0104,2026-03-30,27.0,F,espana,ASOS,Moda,Letyshops,Extensión Navegador,100.3,0.0856
TRX-2026-0105,2025-08-29,32.0,No binario,Francia,Amazon,Tecnología,Letyshops,App Móvil,98.73,"1,9%"
TRX-2026-0106,2026-01-06,37.0,M,Francia,Booking,Viajes,Awin_Affiliate,App Móvil,123.74,0.0646
TRX-2026-0107,2025-09-03,49.0,No binario,España,Dia,Alimentación,Awin_Affiliate,Web/Enlace Directo,45.92,"2,5%"
TRX-2026-0108,2026-05-01,35.0,No binario,Reino Unido,Nike,Moda,Letyshops,Web/Enlace Directo,79.72,0.0664
TRX-2026-0109,2025-11-16,36.0,M,Reino Unido,Renfe,Viajes,iGraal,App Móvil,133.87,"5,7%"
TRX-2026-0110,2026-03-29,33.0,M,España,ASOS,Moda,Awin_Affiliate,Web/Enlace Directo,112.31,0.0635
TRX-2026-0111,2026-04-09,18.0,No binario,Reino Unido,Iberia,Viajes,Awin_Affiliate,Extensión Navegador,286.68,"3,7%"
TRX-2026-0112,2026-04-04,33.0,F,España ,PcComponentes,Tecnología,iGraal,Web/Enlace Directo,329.62,"2,5%"
TRX-2026-0113,2025-07-29,34.0,F,Reino Unido,Carrefour,Alimentación,Revolut_Rewards,App Móvil,58.96,0.0271
TRX-2026-0114,2025-09-13,53.0,F,ES,Dia,Alimentación,Awin_Affiliate,Web/Enlace Directo,76.56,0.0495
TRX-2026-0115,2026-03-23,32.0,F,Italia,ASOS,Moda,iGraal,Web/Enlace Directo,85.07,0.0623
TRX-2026-0116,2026-05-02,36.0,F,ES,Dia,Alimentación,Revolut_Rewards,Extensión Navegador,76.52,0.0267
TRX-2026-0117,2025-12-04,33.0,F,Francia,Renfe,Viajes,Letyshops,Extensión Navegador,261.65,0.034
TRX-2026-0118,2025-10-15,24.0,No binario,Italia,Sephora,Moda,Revolut_Rewards,App Móvil,101.92,"9,4%"
TRX-2026-0119,2025-08-06,43.0,No binario,Francia,Renfe,Viajes,Letyshops,App Móvil,149.45,0.0395
TRX-2026-0120,2025-10-01,40.0,No binario,Alemania,Vueling,Viajes,Letyshops,Web/Enlace Directo,161.84,0.0472
TRX-2026-0121,2026-05-01,40.0,No binario,ES,Vueling,Viajes,iGraal,App Móvil,577.8,
TRX-2026-0122,2025-12-19,26.0,F,Reino Unido,Vueling,Viajes,Awin_Affiliate,Extensión Navegador,105.27,0.0518
TRX-2026-0123,2025-06-22,45.0,M,Reino Unido,Zalando,moda,iGraal,Web/Enlace Directo,122.02,"6,7%"
TRX-2026-0124,2026-01-06,22.0,No binario,Francia,Uber Eats,Alimentación,iGraal,Web/Enlace Directo,27.42,0.0307
TRX-2026-0125,2025-12-07,38.0,M,Francia,Just Eat,Alimentación,Awin_Affiliate,Extensión Navegador,47.25,0.0349
TRX-2026-0126,2026-05-04,51.0,M,Alemania,Mango,Moda,Awin_Affiliate,App Móvil,37.82,"6,0%"
TRX-2026-0127,2025-10-29,26.0,M,Francia,Renfe,Viajes,Revolut_Rewards,App Móvil,444.5,"6,2%"
TRX-2026-0128,2025-07-01,29.0,F,ES,Mango,Moda,Revolut_Rewards,Extensión Navegador,40.78,0.0542
TRX-2026-0129,2025-07-01,34.0,M,ES,MediaMarkt,Tecnología,iGraal,Web/Enlace Directo,158.42,"1,7%"
TRX-2026-0130,2025-10-01,29.0,No binario,Francia,Renfe,Viajes,Awin_Affiliate,Web/Enlace Directo,334.38,"7,0%"
TRX-2026-0131,2026-05-07,21.0,M,ES,Carrefour,Alimentación,Awin_Affiliate,Web/Enlace Directo,37.58,0.0219
TRX-2026-0132,2025-07-22,34.0,F,Italia,Fnac,Tecnología,Letyshops,Extensión Navegador,887.21,"2,6%"
TRX-2026-0133,2025-10-17,25.0,No binario,España ,Booking,Viajes,Awin_Affiliate,App Móvil,649.77,0.0588
TRX-2026-0134,2025-07-20,37.0,F,Francia,Uber Eats,Alimentación,Letyshops,Web/Enlace Directo,56.59,0.0255
TRX-2026-0135,2026-04-11,26.0,No binario,ES,Apple,Tecnología,Letyshops,App Móvil,843.87,0.0145
TRX-2026-0136,2025-09-04,46.0,M,espana,Fnac,Tecnología,iGraal,Web/Enlace Directo,591.25,0.0218
TRX-2026-0137,2025-08-29,27.0,F,Italia,Booking,Viajes,iGraal,Web/Enlace Directo,519.48,"4,1%"
TRX-2026-0138,2025-07-27,31.0,No binario,espana,MediaMarkt,Tecnología,Letyshops,Web/Enlace Directo,389.24,0.0191
TRX-2026-0139,2025-08-07,40.0,F,espana,Amazon,Tecnología,Revolut_Rewards,Extensión Navegador,694.17,"2,0%"
TRX-2026-0140,2026-04-25,24.0,F,espana,Just Eat,Alimentación,Letyshops,Extensión Navegador,67.88,0.048
TRX-2026-0141,2025-10-01,35.0,M,Francia,Booking,viajes,Revolut_Rewards,Web/Enlace Directo,340.62,0.0396
TRX-2026-0142,2025-07-14,44.0,No binario,Francia,Fnac,Tecnología,iGraal,Extensión Navegador,410.6,0.0276
TRX-2026-0143,2025-08-26,21.0,No binario,España,Fnac,tecnología,Awin_Affiliate,Extensión Navegador,372.26,0.019
TRX-2026-0144,2025-12-22,35.0,No binario,España ,Zalando,Moda,Revolut_Rewards,Web/Enlace Directo,30.03,0.0423
TRX-2026-0145,2026-04-03,36.0,M,Alemania,Apple,Tecnología,Revolut_Rewards,Web/Enlace Directo,675.81,"1,6%"
TRX-2026-0146,2026-01-11,40.0,M,Italia,Renfe,Viajes,Awin_Affiliate,Web/Enlace Directo,142.47,"4,7%"
TRX-2026-0147,2025-08-12,24.0,M,España ,Sephora,moda,iGraal,Web/Enlace Directo,85.06,0.0715
TRX-2026-0148,2025-06-20,23.0,F,España ,Iberia,Viajes,Awin_Affiliate,App Móvil,166.32,0.0576
TRX-2026-0149,2026-04-04,38.0,No binario,ES,MediaMarkt,Tecnología,Revolut_Rewards,App Móvil,862.75,0.0192
TRX-2026-0150,2025-06-24,36.0,M,Alemania,Dia,Alimentación,Letyshops,App Móvil,51.28,0.0267
TRX-2026-0151,2025-06-18,36.0,M,España ,Uber Eats,Alimentación,Awin_Affiliate,App Móvil,22.92,"4,0%"
TRX-2026-0152,2026-01-16,36.0,F,ES,Renfe,Viajes,Revolut_Rewards,Web/Enlace Directo,226.17,"4,9%"
TRX-2026-0153,2025-08-02,28.0,No binario,Alemania,Zalando,moda,iGraal,Web/Enlace Directo,138.15,"5,4%"
TRX-2026-0154,2025-06-30,35.0,F,ES,Zara,Moda,Revolut_Rewards,App Móvil,106.32,"8,5%"
TRX-2026-0155,2025-08-24,36.0,F,Alemania,Expedia,Viajes,Revolut_Rewards,Extensión Navegador,612.34,0.0315
TRX-2026-0156,2026-01-16,28.0,F,España ,Fnac,Tecnología,iGraal,App Móvil,284.72,0.0298
TRX-2026-0157,2026-01-25,48.0,F,Italia,Renfe,Viajes,Letyshops,Web/Enlace Directo,341.58,"4,0%"
TRX-2026-0158,2026-03-07,,F,Alemania,Just Eat,Alimentación,Awin_Affiliate,Extensión Navegador,41.05,0.0229
TRX-2026-0159,2025-11-29,24.0,F,Francia,Amazon,Tecnología,Awin_Affiliate,Web/Enlace Directo,661.68,0.0102
TRX-2026-0160,2026-01-07,39.0,F,Francia,PcComponentes,Tecnología,Awin_Affiliate,App Móvil,568.58,"1,4%"
TRX-2026-0161,2025-11-13,26.0,No binario,Alemania,Dia,Alimentación,Letyshops,Web/Enlace Directo,64.06,"4,6%"
TRX-2026-0162,2025-08-29,40.0,F,espana,Mango,Moda,Letyshops,Extensión Navegador,66.01,"7,1%"
TRX-2026-0163,2025-10-28,43.0,F,Francia,Mango,Moda,Revolut_Rewards,App Móvil,95.49,
TRX-2026-0164,2026-06-12,27.0,No binario,España,Booking,Viajes,Revolut_Rewards,App Móvil,479.22,"5,2%"
TRX-2026-0165,2026-03-13,41.0,F,Italia,Uber Eats,Alimentación,Revolut_Rewards,App Móvil,71.53,"4,7%"
TRX-2026-0166,2025-07-14,37.0,M,España,Mango,Moda,Revolut_Rewards,Web/Enlace Directo,40.92,0.0987
TRX-2026-0167,2025-11-08,40.0,No binario,Francia,Zalando,Moda,Revolut_Rewards,App Móvil,44.39,
TRX-2026-0168,2025-08-03,49.0,F,España,Nike,Moda,iGraal,Web/Enlace Directo,29.2,
TRX-2026-0169,2025-09-10,32.0,F,Italia,Expedia,Viajes,Awin_Affiliate,Extensión Navegador,545.0,"5,9%"
TRX-2026-0170,2026-01-10,27.0,F,Reino Unido,Zara,Moda,Awin_Affiliate,App Móvil,32.62,0.0969
TRX-2026-0171,2025-10-03,26.0,F,España ,Uber Eats,Alimentación,Revolut_Rewards,App Móvil,24.7,0.0313
TRX-2026-0172,2026-04-01,27.0,M,España ,Just Eat,Alimentación,Letyshops,App Móvil,30.79,0.0261
TRX-2026-0173,2026-03-08,33.0,F,espana,Carrefour,Alimentación,iGraal,Extensión Navegador,67.3,0.0376
TRX-2026-0174,2026-06-06,36.0,F,ES,Iberia,Viajes,Letyshops,Web/Enlace Directo,424.51,0.0382
TRX-2026-0175,2025-12-12,36.0,M,ES,Fnac,Tecnología,Revolut_Rewards,App Móvil,124.8,0.0296
TRX-2026-0176,2025-08-29,40.0,F,Reino Unido,Nike,Moda,Awin_Affiliate,Web/Enlace Directo,141.84,0.0747
TRX-2026-0177,2026-02-08,34.0,M,Alemania,Amazon,Tecnología,Revolut_Rewards,Web/Enlace Directo,591.86,"2,0%"
TRX-2026-0178,2025-10-06,45.0,F,Alemania,Vueling,Viajes,iGraal,Extensión Navegador,618.76,0.0567
TRX-2026-0179,2025-06-16,31.0,F,España ,Mango,Moda,Revolut_Rewards,App Móvil,32.56,
TRX-2026-0180,2025-11-15,55.0,F,espana,Fnac,tecnología,Awin_Affiliate,Extensión Navegador,471.91,0.024
TRX-2026-0181,2026-03-07,39.0,No binario,Alemania,Amazon,Tecnología,Awin_Affiliate,App Móvil,107.96,0.0292
TRX-2026-0182,2026-05-03,27.0,No binario,Italia,Booking,Viajes,Revolut_Rewards,App Móvil,294.99,0.049
TRX-2026-0183,2025-07-18,25.0,M,Alemania,Vueling,Viajes,iGraal,Extensión Navegador,200.51,
TRX-2026-0184,2026-01-21,37.0,No binario,Alemania,Expedia,Viajes,Awin_Affiliate,Extensión Navegador,628.04,0.0535
TRX-2026-0185,2026-03-22,32.0,No binario,ES,Uber Eats,alimentación,Revolut_Rewards,Web/Enlace Directo,24.1,0.0497
TRX-2026-0186,2025-12-21,39.0,No binario,Italia,Uber Eats,Alimentación,iGraal,Web/Enlace Directo,32.77,0.0498
TRX-2026-0187,2025-06-30,37.0,No binario,Reino Unido,Carrefour,Alimentación,Awin_Affiliate,Extensión Navegador,61.35,"2,2%"
TRX-2026-0188,2026-01-02,33.0,M,espana,Booking,Viajes,Awin_Affiliate,App Móvil,285.15,"4,1%"
TRX-2026-0189,2026-04-22,27.0,F,ES,Fnac,Tecnología,iGraal,Web/Enlace Directo,554.32,"1,6%"
TRX-2026-0190,2025-08-31,21.0,F,Alemania,Sephora,moda,Revolut_Rewards,Extensión Navegador,42.36,0.0581
TRX-2026-0191,2025-10-09,30.0,F,España,Apple,Tecnología,Revolut_Rewards,Web/Enlace Directo,570.34,"1,9%"
TRX-2026-0192,2025-12-27,40.0,M,espana,Dia,Alimentación,Awin_Affiliate,App Móvil,54.21,0.0409
TRX-2026-0193,2025-06-23,35.0,No binario,Francia,ASOS,Moda,Revolut_Rewards,App Móvil,127.06,"6,4%"
TRX-2026-0194,2025-06-29,24.0,No binario,España ,Dia,Alimentación,Revolut_Rewards,App Móvil,69.03,0.0221
TRX-2026-0195,2026-02-04,35.0,No binario,España ,Just Eat,Alimentación,iGraal,App Móvil,79.4,0.0344
TRX-2026-0196,2025-09-12,37.0,No binario,Reino Unido,Booking,Viajes,Letyshops,Web/Enlace Directo,458.88,0.0367
TRX-2026-0197,2025-12-26,26.0,M,espana,Booking,Viajes,Awin_Affiliate,Extensión Navegador,371.09,0.0508
TRX-2026-0198,2025-08-16,35.0,No binario,Alemania,ASOS,moda,iGraal,App Móvil,38.07,0.065
TRX-2026-0199,2026-01-05,34.0,M,Francia,Mango,Moda,Revolut_Rewards,App Móvil,84.52,0.0663
TRX-2026-0200,2026-04-16,24.0,F,Italia,PcComponentes,Tecnología,Letyshops,Web/Enlace Directo,249.77,"1,3%"
TRX-2026-0201,2025-11-18,36.0,No binario,España ,Sephora,Moda,Revolut_Rewards,App Móvil,28.65,"7,7%"
TRX-2026-0202,2025-06-18,38.0,F,Alemania,Vueling,Viajes,Letyshops,App Móvil,265.81,"4,8%"
TRX-2026-0203,2025-08-12,42.0,M,Alemania,Carrefour,Alimentación,Awin_Affiliate,App Móvil,69.96,0.0385
TRX-2026-0204,2026-05-01,42.0,No binario,España ,PcComponentes,Tecnología,Letyshops,App Móvil,140.58,"1,7%"
TRX-2026-0205,2026-03-10,22.0,M,Reino Unido,Mango,Moda,Letyshops,App Móvil,61.1,0.0512
TRX-2026-0206,2025-10-08,26.0,F,espana,Just Eat,alimentación,Revolut_Rewards,Web/Enlace Directo,46.96,
TRX-2026-0207,2026-01-15,38.0,F,España ,Mango,Moda,Awin_Affiliate,Extensión Navegador,122.59,0.0739
TRX-2026-0208,2025-09-08,38.0,M,Alemania,Iberia,Viajes,Letyshops,App Móvil,138.38,0.0632
TRX-2026-0209,2025-12-17,38.0,F,Francia,Expedia,Viajes,Letyshops,Web/Enlace Directo,415.12,0.044
TRX-2026-0210,2026-02-28,64.0,F,Italia,Vueling,Viajes,Awin_Affiliate,Web/Enlace Directo,240.22,"5,2%"
TRX-2026-0211,2025-09-23,38.0,No binario,Italia,Expedia,Viajes,Revolut_Rewards,Extensión Navegador,645.72,"6,5%"
TRX-2026-0212,2026-02-07,43.0,No binario,Francia,Dia,Alimentación,Awin_Affiliate,Web/Enlace Directo,41.92,0.0336
TRX-2026-0213,2026-01-22,41.0,No binario,España ,Just Eat,Alimentación,Awin_Affiliate,Web/Enlace Directo,15.16,0.0432
TRX-2026-0214,2025-09-13,39.0,M,espana,Dia,Alimentación,Revolut_Rewards,App Móvil,35.99,0.0285
TRX-2026-0215,2025-06-29,31.0,F,España ,Iberia,Viajes,iGraal,Extensión Navegador,609.78,0.0363
